"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","Score","%D","ADP","Ros","+/-","IP","QS","SV","HLD","BB/9","K","ERA","H/IP","H/AB","R","RBI","HR","SB","AVG","OBP","SLG","GP"
"*02n2x*","Paul Sewald","(N/A)","RP","","FA","35","100,000","A","41.01","2","465.4","7%","0%","32","0","0","0","2.53","34","4.22","0.94","0/0","0","0","0","0","0","0","0","36"
"*03dap*","Brock Burke","CIN","RP","","FA","29","100,000","A","46.97","3","465.4","8%","0%","60","0","0","14","3.15","55","4.20","0.97","0/0","0","0","0","0","0","0","0","65"
"*05zyb*","Josh White","MIA","RP","","FA","25","100,000","A","0","3","465.4","9%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060o9*","Juan Mejia","COL","RP","","FA","25","100,000","A","41.85","2","465.5","9%","0%","60","0","0","14","5.10","64","4.35","0.90","0/0","0","0","0","0","0","0","0","56"
"*06ex9*","Brandan Bidois","PIT","RP","","FA","24","100,000","A","0","2","465.7","9%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*041z3*","John Schreiber","KC","RP","","FA","31","100,000","A","65.26","3","465.7","13%","0%","61","0","2","24","3.25","60","3.84","0.89","0/0","0","0","0","0","0","0","0","71"
"*060ui*","RJ Petit","COL","RP","","FA","26","100,000","A","37.31","2","465.8","5%","0%","21","0","0","0","4.71","21","3.86","0.86","0/0","0","0","0","0","0","0","0","24"
"*05jnq*","Clayton Beeter","WSH","RP","","FA","27","100,000","A","53.45","21","465.9","28%","+1%","55","0","2","12","6.87","71","3.93","0.67","0/0","0","0","0","0","0","0","0","53"
"*04afl*","Brendon Little","TOR","RP","","FA","29","100,000","A","64.68","9","466.1","32%","+1%","65","0","0","27","5.68","78","3.74","0.75","0/0","0","0","0","0","0","0","0","75"
"*03qm8*","JT Brubaker","SF","RP","","FA","32","100,000","A","40.4","12","466.4","8%","0%","36","0","0","0","4.25","25","3.75","0.86","0/0","0","0","0","0","0","0","0","24"
"*04paj*","Cole Winn","TEX","RP","","FA","26","100,000","A","50.84","3","466.4","13%","+1%","49","0","0","6","4.04","40","3.67","0.82","0/0","0","0","0","0","0","0","0","40"
"*04pxo*","Erik Sabrowski","CLE","RP","","FA","28","100,000","A","52.3","3","466.5","15%","0%","43","0","0","15","6.49","60","3.98","0.70","0/0","0","0","0","0","0","0","0","42"
"*041m3*","Forrest Whitley","TB","RP","","FA","28","100,000","A","0","3","466.6","9%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rks*","Luis Mey","CIN","RP","","FA","24","100,000","A","39.09","3","466.6","17%","0%","39","0","0","8","6.69","35","4.15","0.82","0/0","0","0","0","0","0","0","0","45"
"*06ala*","Osvaldo Bido","LAA","RP","","FA","30","100,000","A","25.75","3","466.6","9%","0%","78","1","0","0","4.04","71","4.85","1.03","0/0","0","0","0","0","0","0","0","32"
"*04pqo*","Braydon Fisher","TOR","RP","","FA","25","100,000","A","49.1","4","466.7","17%","0%","51","0","0","0","4.59","60","3.53","0.78","0/0","0","0","0","0","0","0","0","57"
"*0421q*","Greg Weissert","BOS","RP","","FA","30","100,000","A","62.07","4","466.9","15%","0%","68","0","2","15","3.04","59","3.57","0.91","0/0","0","0","0","0","0","0","0","67"
"*03zbj*","Brusdar Graterol","LAD","RP","","FA","27","100,000","A","55.93","5","466.9","17%","0%","28","0","0","0","2.57","21","2.89","0.86","0/0","0","0","0","0","0","0","0","29"
