Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Jordan Geber,NYM,"AA,AAA",26,37.1,7.473212583504092,6.508927088858403,1.14814815,1.2053568683071116,0.17919075,0.15606936,0.02312139,0.27972028,1.7946424483683663,0.3271028,0.6984127,5.303570220551292,6.052835291401543,-0.7492650708502513,6.572040620026834,sa3019958
Aneudis Mejia,TEX,"A,A+",22,28.0,8.35714289272318,4.17857144636159,2.0,1.6071428639852272,0.19847328,0.09923664,0.09923664,0.28448276,1.6428571498515654,0.32941176,0.46341463,7.071428601535,5.687984260135455,1.383444341399545,5.102905741733821,sa3019960
Nick Merkel,MIL,AA,27,15.2,8.042551559579817,3.446807811248493,2.33333333,1.148935937082831,0.19444444,0.08333333,0.11111111,0.33846154,1.787233679906626,0.40816327,0.45801527,9.191487496662647,4.871992319641578,4.31949517702107,4.5738792902048235,sa3019962
Andrew Jenkins,DET,AA,25,2.2,0.0,3.374995674943506,0.0,3.374995674943506,0.0,0.07692308,-0.07692308,0.33333333,1.8749975971908366,0.27272727,0.55555556,10.124987024830519,9.562483918676694,0.5625031061538248,7.500829199000703,sa3019979
Blake Rambusch,SEA,AA,26,1.0,0.0,9.0,0.0,0.0,0.0,0.2,-0.2,0.5,3.0,0.5,0.33333333,9.0,6.654935550689697,2.3450644493103026,8.558263850212096,sa3020008
Tanner Schobel,MIN,AAA,25,4.0,0.0,4.5,0.0,0.0,0.0,0.11111111,-0.11111111,0.26666667,1.5,0.26666667,0.57142857,4.5,5.802311134338379,-1.302311134338379,8.609425348043441,sa3020009
Jake Garland,OAK,"A+,AA",25,29.0,6.827586206896552,3.103448275862069,2.2,0.6206896551724138,0.17054264,0.07751938,0.09302326,0.25862069,1.3793103448275863,0.30434783,0.77114428,2.793103448275862,4.486527309433073,-1.6934238611572106,5.442914707491043,sa3020077
John Michael Bertrand,SFG,AAA,28,63.2,6.219894791057264,4.240837357539044,1.46666667,0.8481674715078087,0.15172414,0.10344828,0.04827586,0.28185328,1.6178009178760056,0.32057416,0.69037657,4.806282338544249,5.297428454860283,-0.4911461163160338,5.636229478635322,sa3020082
Michael Sansone,BOS,"AA,AAA",26,55.0,7.854545182157163,3.272727159232151,2.4,1.6363635796160756,0.21333333,0.08888889,0.12444445,0.24019608,1.2545454110389913,0.26712329,0.67857143,5.072727096809834,5.320081325251112,-0.24735422844127797,4.965919854483708,sa3020083
Jorel Ortega,MIN,AA,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333,1.0,0.33333333,1.0,0.0,3.6549355506896974,-3.6549355506896974,5.558263850212097,sa3020090
Brett Gillis,HOU,AA,26,55.2,7.437125068972918,3.556885902552265,2.09090909,0.8083831596709694,0.19742489,0.0944206,0.10300429,0.21153846,1.1856286341840885,0.24840764,0.67741935,3.880239166420653,4.517210921005399,-0.6369717545847458,4.99073947133925,sa3020110
Jacob Miller,MIA,AA,22,42.2,7.593749094754565,3.5859370725229893,2.11764706,1.265624849125761,0.19459459,0.09189189,0.1027027,0.21556886,1.2421873519197282,0.24,0.61403509,4.640624446794456,5.0654764406383235,-0.42485199384386707,4.987042049262322,sa3020111
Adonys Perez,ARI,"A+,AA",22,34.1,7.33980650483349,2.3592235194107647,3.11111111,1.5728156796071766,0.2,0.06428571,0.13571429,0.22307692,1.106796218982828,0.23958333,0.78431373,3.9320391990179413,5.167107852981198,-1.235068653963257,4.091846931222989,sa3020114
Trey Faltine,CIN,AAA,25,0.1,0.0,81.00080869409182,0.0,0.0,0.0,0.6,-0.6,0.5,12.00011980653212,0.5,0.5,54.00053912939454,30.552580699035648,23.44795843035889,30.552580699035648,sa3020118
Sammy Hernandez,STL,A+,22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.947075557708741,-3.947075557708741,3.947075557708741,sa3020141
Billy Corcoran,ARI,"A+,AA",26,24.2,9.486485263916574,5.108107449801232,1.85714286,2.554053724900616,0.2300885,0.12389381,0.10619469,0.30612245,1.7837835538988431,0.35384615,0.73863636,6.932431539015958,7.059532303666442,-0.1271007646504838,5.2919966631300746,sa3020172
Blake Adams,COL,"AA,AAA",25,50.0,8.1,2.52,3.21428571,1.44,0.20642202,0.06422018,0.14220184,0.26237624,1.34,0.30201342,0.53633218,5.58,4.998001621962994,0.5819983780370057,5.091447451712101,sa3020174
Ben Sears,KCR,"AA,AAA",26,41.2,7.992001631058072,3.240000661239759,2.46666667,1.080000220413253,0.20441989,0.08287293,0.12154696,0.26993865,1.416000288986265,0.32231405,0.74545455,4.536000925735663,4.640521301318431,-0.10452037558276839,4.79260913667495,sa3020178
Ike Buxton,WSN,CPX,25,5.0,9.0,5.4,1.66666667,0.0,0.22727273,0.13636364,0.09090909,0.15789474,1.2,0.21428571,0.66666667,0.0,3.9291024208068848,-3.9291024208068848,4.789719894528389,sa3020180
Grant Kipp,CHC,AA,26,51.1,10.519481561782793,2.8051950831420784,3.75,0.8766234634818995,0.27906977,0.0744186,0.20465116,0.21938776,1.1493507632318238,0.29007634,0.69090909,4.032467932016737,3.698187651097785,0.33428028091895223,4.1632495146408734,sa3020185
Mario Camilletti,CHW,AAA,27,1.0,0.0,18.0,0.0,0.0,0.0,0.2,-0.2,0.57142857,6.0,0.57142857,0.42857143,36.0,12.552311134338378,23.447688865661622,16.29513008594513,sa3020192
Brenner Cox,WSN,CPX,22,5.2,9.529406418852851,6.352937612568568,1.5,0.0,0.25,0.16666667,0.08333333,0.25,1.588234403142142,0.35714286,0.66666667,3.176468806284284,4.129102420806885,-0.9526336145226009,5.141592998369679,sa3020217
Isaac Coffey,BOS,"AA,AAA",26,23.2,9.50704097653228,3.422534751551621,2.77777778,1.1408449171838737,0.23148148,0.08333333,0.14814815,0.26315789,1.436619525342656,0.32835821,0.79881657,4.183098029674204,4.73799053169581,-0.5548925020216062,5.3842913672816275,sa3020222
Ramon Suarez,TOR,"A,CPX",22,16.1,12.673471854360123,8.816328246511391,1.4375,2.204082061627848,0.2875,0.2,0.0875,0.22580645,1.8367350513565397,0.28571429,0.60606061,7.163266700290505,7.631051883692216,-0.4677851834017108,5.829032777113077,sa3020237
Easton Sikorski,CIN,AA,26,19.0,7.578947368421052,1.894736842105263,4.0,1.894736842105263,0.20253165,0.05063291,0.15189873,0.24324324,1.1578947368421053,0.25925926,0.74712644,4.7368421052631575,5.501331871434262,-0.7644897661711045,4.729054649566349,sa3020250
Roel Garcia III,TBR,AA,27,25.0,5.4,4.68,1.15384615,1.08,0.13157895,0.11403509,0.01754386,0.25,1.52,0.26829268,0.40229885,8.28,5.699226608276367,2.580773391723632,6.983168153762818,sa3020253
Liam Simon,SFG,A+,25,21.1,16.453127451707044,8.859376320149947,1.85714286,0.8437501257285663,0.35135135,0.18918919,0.16216216,0.25581395,2.015625300351575,0.44444444,0.67873303,5.9062508800999645,4.729542606789643,1.1767082733103216,4.6335780804005475,sa3020256
