Player,Block_Franchise,Block_Type,name_norm,Player Name,Franchise,Contract Type,Salary,Contract Length,Contract Starts,Contract Ends,2025 Salary Hit,Name,Team,WAR,FPTS,Player_Type
Sebastian Walcott,JD Barnett,Full,sebastian walcott,Sebastian Walcott,JD Barnett, Minors , YP , YP ,,, $ -   ,Sebastian Walcott,TEX,0.259563,84.7,Batter
Cole Ragans,JD Barnett,Partial,cole ragans,Cole Ragans,JD Barnett, FA Contract ," $ 11,000,000 ",4,2025.0,2028.0," $ 11,000,000 ",Cole Ragans,KCR,4.24898,908.0,Pitcher
Eury Perez,JD Barnett,Partial,eury perez,Eury Perez,JD Barnett, FA Contract ," $ 15,700,000 ",4,2024.0,2027.0," $ 15,700,000 ",Eury Pérez,MIA,2.61372,685.0,Pitcher
Cristopher Sanchez,JD Barnett,Partial,cristopher sanchez,Cristopher Sanchez,JD Barnett, FA Contract ," $ 2,000,000 ",2,2025.0,2026.0," $ 2,000,000 ",Cristopher Sánchez,PHI,4.68906,981.0,Pitcher
Shane McClanahan,JD Barnett,Partial,shane mcclanahan,Shane McClanahan,JD Barnett, FA Contract ," $ 5,500,000 ",3,2025.0,2027.0," $ 5,500,000 ",Shane McClanahan,TBR,2.88847,664.0,Pitcher
Ryan Pepiot,JD Barnett,Partial,ryan pepiot,Ryan Pepiot,JD Barnett, FA Contract ," $ 5,500,000 ",5,2024.0,2028.0," $ 5,500,000 ",Ryan Pepiot,TBR,2.08453,681.5000000000001,Pitcher
Vinnie Pasquantino,JD Barnett,Partial,vinnie pasquantino,Vinnie Pasquantino,JD Barnett, FA Contract ," $ 5,700,000 ",3,2024.0,2026.0," $ 5,700,000 ",Vinnie Pasquantino,KCR,1.93707,726.8,Batter
Vladimir Guerrero Jr,Jake Zuckman & Andrew Meyers,Full,vladimir guerrero,Vladimir Guerrero Jr,Jake Zuckman & Andrew Meyers, FA Contract ," $ 20,100,000 ",11,2025.0,2035.0," $ 20,100,000 ",Vladimir Guerrero Jr.,TOR,4.808,1013.3,Batter
Gunnar Henderson,Jake Zuckman & Andrew Meyers,Full,gunnar henderson,Gunnar Henderson,Jake Zuckman & Andrew Meyers, FA Contract ," $ 23,000,000 ",3,2024.0,2026.0," $ 23,000,000 ",Gunnar Henderson,BAL,5.6374,885.3,Batter
Max Fried,Jake Zuckman & Andrew Meyers,Full,max fried,Max Fried,Jake Zuckman & Andrew Meyers, FA Contract ," $ 7,400,000 ",4,2024.0,2027.0," $ 7,400,000 ",Max Fried,NYY,3.64745,877.1000000000001,Pitcher
Cal Raleigh,Jake Zuckman & Andrew Meyers,Full,cal raleigh,Cal Raleigh,Jake Zuckman & Andrew Meyers, FA Contract ," $ 6,000,000 ",3,2025.0,2027.0," $ 6,000,000 ",Cal Raleigh,SEA,5.92563,824.4,Batter
Konnor Griffing,Jake Zuckman & Andrew Meyers,Partial,konnor griffing,,,,,,,,,,,,,
Francisco Lindor,Jake Zuckman & Andrew Meyers,Partial,francisco lindor,Francisco Lindor,Jake Zuckman & Andrew Meyers, FA Contract ," $ 16,600,000 ",3,2024.0,2026.0," $ 16,600,000 ",Francisco Lindor,NYM,4.89002,827.7,Batter
Hunter Goodman,Jake Zuckman & Andrew Meyers,Partial,hunter goodman,Hunter Goodman,Jake Zuckman & Andrew Meyers, YP Contract , YP , YP ,2024.0,2026.0," $ 1,000,000 ",Hunter Goodman,COL,1.63317,589.4,Batter
Tanner Bibee,Jake Zuckman & Andrew Meyers,Partial,tanner bibee,Tanner Bibee,Jake Zuckman & Andrew Meyers, FA Contract ," $ 3,900,000 ",4,2024.0,2027.0," $ 3,900,000 ",Tanner Bibee,CLE,2.33613,722.0,Pitcher
Spencer Arrighetti,Jake Zuckman & Andrew Meyers,Partial,spencer arrighetti,Spencer Arrighetti,Jake Zuckman & Andrew Meyers, FA Contract ," $ 5,000,000 ",2,2025.0,2026.0," $ 5,000,000 ",Spencer Arrighetti,HOU,0.486061,323.7000000000001,Pitcher
Lawrence Butler,Jake Zuckman & Andrew Meyers,Partial,lawrence butler,Lawrence Butler,Jake Zuckman & Andrew Meyers, FA Contract ," $ 6,000,000 ",3,2025.0,2027.0," $ 6,000,000 ",Lawrence Butler,ATH,1.752,561.9,Batter
Paul Skenes,Ethan Gobetz,Full,paul skenes,Paul Skenes,Ethan Gobetz, YP Contract , YP ,YP,2024.0,2026.0," $ 1,000,000 ",Paul Skenes,PIT,5.69673,1100.4,Pitcher
