Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jakob Marsee","MIA",89,383,326,75,48,15,4,8,47,41,45,0,81,5,2,4,,22,8,0.231849,0.118636,0.210512,0.563557,0.333398,0.378138,0.316207,0.711536,0.146289,7.06989,0.281256,0,0.543639,46.1891,0.979146,100.856,0.543639,-0.424137,0.931855708360672,0.5874369442462921,1.45877,137.0800018310547,,,,,,,404.9,4.549438202,404.9,4.549438202,,,,,,,,,,,,,,,,,,,"Jakob Marsee","31370",805300
"Sal Frelick","MIL",92,398,358,95,72,14,3,6,50,41,32,1,52,4,3,1,,11,4,0.265267,0.0808045,0.131505,0.614458,0.330118,0.374633,0.310239,0.704751,0.109366,5.59915,0.293031,0,-0.014552,46.0823,-0.909421,98.8632,-0.014552,5.47055,-0.5503879254683852,1.5007987022399902,1.45193,216.39999389648438,,,,,,,405.8,4.410869565,405.8,4.410869565,,,,,,,,,,,,,,,,,,,"Sal Frelick","29622",686217
"Patrick Bailey","CLE",59,234,212,45,31,8,1,5,23,25,19,0,64,1,1,1,,2,0,0.212145,0.082211,0.272086,0.302151,0.279213,0.326728,0.269249,0.605941,0.114584,4.1502,0.27785,0,-0.0182101,19.3422,-8.32942,71.2038,-0.0182101,9.27936,-7.9666406363248825,13.853435039520264,1.42744,747.8900146484375,,,,,,,179.7,3.045762711,179.7,3.045762711,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Colt Emerson","SEA",90,389,345,80,54,15,3,7,45,44,33,1,86,8,3,0,,6,3,0.231068,0.0843374,0.22031,0.382812,0.309811,0.353398,0.293148,0.663209,0.12233,5.41653,0.28534,0,-0.784874,39.6912,-6.28962,93.0141,-0.784874,2.66086,-3.9890220761299133,4.2969748973846436,1.40263,999,,,,,,,355.4,3.948888888,355.4,3.948888888,,,,,,,,,,,,,,,,,,,"Colt Emerson","33575",806068
"Kyle Isbel","KCR",82,353,317,79,54,15,4,7,43,33,22,0,70,4,2,8,,8,3,0.25,0.0613291,0.197328,0.310798,0.30547,0.384584,0.301683,0.690054,0.134584,6.48048,0.29956,0,-0.0326334,38.4294,-3.25765,89.3449,-0.0326334,4.44952,-4.463312767446041,5.709555745124817,1.37059,999,,,,,,,342.3,4.174390243,342.3,4.174390243,,,,,,,,,,,,,,,,,,,"Kyle Isbel","21614",664728
"Sam Antonacci","CHW",87,376,314,79,57,14,5,3,52,44,33,1,61,22,2,5,,16,5,0.253246,0.0873794,0.163017,0.536015,0.362126,0.357287,0.324938,0.719412,0.104041,7.46448,0.30381,0,0.584427,48.0455,3.62692,108.124,0.584427,-1.13771,4.184114634990692,-3.9482009410858154,1.34867,999,,,,,,,407.1,4.679310344,407.1,4.679310344,,,,,,,,,,,,,,,,,,,"Sam Antonacci","35101",803011
"Alec Bohm","PHI",92,398,364,98,68,19,1,10,43,51,26,1,61,4,3,0,,2,1,0.267981,0.0657934,0.152322,0.431937,0.320859,0.408208,0.316512,0.729067,0.140226,3.16271,0.295062,0,-0.525885,48.087,1.11564,100.795,-0.525885,-0.864102,-0.15116071701049805,0.023243963718414307,1.34101,239.8699951171875,,,,,,,430.6,4.680434782,430.6,4.680434782,,,,,,,,,,,,,,,,,,,"Alec Bohm","21618",664761
"Zack Gelof","ATH",73,316,283,66,40,14,1,11,42,42,28,0,98,2,2,2,,9,2,0.23364,0.0874745,0.308931,0.283152,0.304156,0.410651,0.311207,0.714806,0.177011,5.59942,0.311365,0,0.713495,36.8378,-0.47374,96.1034,0.713495,1.88803,-0.7367323637008667,2.8726001977920532,1.33113,999,,,,,,,337.8,4.62739726,337.8,4.62739726,,,,,,,,,,,,,,,,,,,"Zack Gelof","29766",680869
"Adolis García","PHI",102,442,402,97,59,19,1,18,54,60,32,1,116,6,3,0,,8,3,0.241395,0.0718625,0.262338,0.273931,0.304147,0.429979,0.317102,0.734126,0.188585,4.52221,0.291297,0,-0.170938,53.7086,1.45303,101.2,-0.170938,2.40521,0.4578271508216858,-2.1912426948547363,1.32909,213.99000549316406,,,,,,,492,4.823529411,492,4.823529411,,,,,,,,,,,,,,,,,,,"Adolis Garcia","19287",666969
"Luis Robert Jr.","NYM",66,286,258,61,39,12,0,10,35,40,23,2,75,3,1,1,,13,4,0.237421,0.082154,0.261246,0.314469,0.305997,0.404584,0.30815,0.710581,0.167164,4.86595,0.292153,0,0.553518,32.6203,-1.13781,99.9788,0.553518,2.0153,0.5463552000001073,2.8924648761749268,1.32502,105.63999938964844,,,,,,,303.9,4.604545454,303.9,4.604545454,,,,,,,,,,,,,,,,,,,"Luis Robert Jr.","20043",673357
