Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Justin Sterner","ATH",3,3,,3.94604,65,0,8,10,,65,273,57,31,28,9,24,,4,67,9.25801,3.33895,2.77273,1.21417,0.24498,0.0883534,0.15662651509046555,0.233184,1.24789,0.285714,0.732484,,,4.14694,0.501874,0.515322,414.45001220703125,,,,,,,352.1,5.416923076923077,338,5.2,,,,,,,,,,,,,,,,,,,"Justin Sterner","27694",686993
"Andrew Kittredge","BAL",5,4,,3.57853,60,0,3,12,,60,246,57,26,24,8,14,,1,58,8.7674,2.14712,4.08333,1.25249,0.237864,0.0582524,0.1796116642653942,0.248705,1.19284,0.29927,0.756972,,,3.77132,0.501456,0.687244,741.2999877929688,,,,,,,331.40000000000003,5.523333333333334,330,5.5,,,,,,,,,,,,,,,,,,,"Andrew Kittredge","12828",552640
"Germán Márquez","SDP",6,11,,5.30769,34,23,0,1,,126,564,143,81,75,19,45,,4,89,6.30769,3.23077,1.95238,1.38462,0.157088,0.0804598,0.07662835717201233,0.277311,1.48718,0.303192,0.665323,,,4.91291,0.50052,-0.435666,999,,,,,,,361.90000000000003,2.8722222222222227,418,3.3174603174603177,,,,,,,,,,,,,,,,,,,"German Marquez","15038",608566
"Danny Coulombe",,2,1,,3.53808,44,0,0,0,,44,181,38,18,17,4,16,,1,43,8.84521,3.31695,2.66667,0.884521,0.239521,0.0898204,0.1497006118297577,0.231788,1.2285,0.28972,0.743243,,,3.62654,0.49813,0.570273,999,,,,,,,212.60000000000002,4.831818181818182,203,4.613636363636363,,,,,,,,,,,,,,,,,,,"Danny Coulombe","13293",543056
"Tyler Kinley","ATL",4,3,,3.94737,63,0,0,13,,63,265,53,30,28,8,27,,2,72,10.2632,3.78947,2.70833,1.10526,0.270833,0.1,0.1708333119750023,0.224299,1.26316,0.288732,0.723473,,,3.81935,0.494263,0.347982,999,,,,,,,339.00000000000006,5.380952380952382,320,5.079365079365079,,,,,,,,,,,,,,,,,,,"Tyler Kinley","18297",641755
"Stephen Kolek","KCR",4,4,,4.23285,36,8,0,1,,70,304,70,36,33,6,23,,5,48,6.17579,2.91442,2.11905,0.832691,0.158363,0.0747331,0.08362989127635956,0.254902,1.32614,0.288509,0.68299,,,4.16829,0.487992,0.55193,999,,,,,,,278.2,3.974285714285714,288,4.114285714285714,,,,,,,,,,,,,,,,,,,"Stephen Kolek","21487",663568
"Spencer Arrighetti","HOU",5,6,,4.36082,29,13,0,1,,84,368,76,44,41,12,39,,5,86,9.18557,4.17526,2.2,1.29897,0.234043,0.106383,0.12765958160161972,0.233871,1.36082,0.281853,0.720641,,,4.54751,0.483536,0.555815,680.0900268554688,,,,,,,320.4,3.814285714285714,308,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Spencer Arrighetti","29921",681293
"Caden Dana","LAA",5,8,,4.91049,16,16,0,0,,82,357,78,48,45,13,36,,5,75,8.28644,3.91304,2.11765,1.38107,0.21135,0.0998043,0.11154597252607346,0.247241,1.3896,0.287462,0.682148,,,4.77197,0.473548,0.306748,999,,,,,,,271.1000000000001,3.3060975609756107,268,3.268292682926829,,,,,,,,,,,,,,,,,,,"Caden Dana","31508",702674
"Justin Wilson",,2,2,,3.78947,43,0,0,0,,43,194,43,19,18,5,17,,1,46,9.71053,3.55263,2.73333,0.947368,0.239766,0.0877193,0.1520467922091484,0.245161,1.39474,0.309091,0.759494,,,3.60882,0.455086,0.396856,999,,,,,,,182.89999999999998,4.253488372093023,188,4.372093023255814,,,,,,,,,,,,,,,,,,,"Justin Wilson","4301",458677
"Jakob Junis","TEX",3,3,,4.05634,65,0,1,14,,65,271,61,32,29,7,16,,4,55,7.60563,2.28169,3.33333,1.01408,0.202703,0.0608108,0.14189190417528152,0.244526,1.19718,0.286408,0.677507,,,3.83936,0.455042,0.107262,999,,,,,,,347.29999999999995,5.343076923076922,345,5.3076923076923075,,,,,,,,,,,,,,,,,,,"Jakob Junis","13619",596001
"John Schreiber","KCR",3,3,,3.96825,64,0,1,14,,64,269,58,30,28,7,23,,3,60,8.4127,3.1746,2.65,0.952381,0.222689,0.0840336,0.13865546137094498,0.237209,1.2522,0.288462,0.702875,,,3.85824,0.453998,0.39888,999,,,,,,,339.7,5.3078125,332,5.1875,,,,,,,,,,,,,,,,,,,"John Schreiber","20020",670167
"Jason Adam","SDP",5,4,,3.3996,60,0,1,15,,60,243,47,25,23,6,23,,6,61,9.12525,3.3996,2.68421,0.894632,0.25,0.0931373,0.1568627431988716,0.216667,1.15308,0.274194,0.72549,,,3.83096,0.442356,0.714651,999,,,,,,,348,5.8,322,5.366666666666666,,,,,,,,,,,,,,,,,,,"Jason Adam","11861",592094
"Bryan King","HOU",4,3,,3.61809,67,0,1,17,,67,278,59,29,27,9,19,,4,66,8.89447,2.56281,3.47059,1.20603,0.237903,0.0685484,0.16935484111309052,0.23348,1.17253,0.28125,0.748299,,,3.95591,0.437005,0.682479,999,,,,,,,367.69999999999993,5.488059701492536,354,5.2835820895522385,,,,,,,,,,,,,,,,,,,"Bryan King","25890",687911
