Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Jordy Vargas,COL,A+,22,76,9.947368421052632,5.802631578947368,1.71428571,1.0657894736842106,0.24277457,0.1416185,0.10115607,0.25085911,1.605263157894737,0.32323232,0.66724437,5.684210526315789,5.168331813812255,0.5158787125035342,5.455674765102173,sa3016052
Allen Facundo,NYY,"A,A+",23,73.2,12.583709538406472,5.619909114239784,2.23913043,0.36651581179824677,0.32698413,0.14603175,0.18095238,0.16923077,1.2217193726608226,0.26623377,0.70675105,3.6651581179824677,3.549755771972766,0.11540234600970178,4.4935711585804725,sa3016071
Christian Romero,LAD,AAA,23,89.2,6.724907826126022,2.91078099936798,2.31034483,1.3048328617856462,0.176781,0.07651715,0.10026385,0.25797101,1.3159852794077456,0.28679245,0.79198473,4.014870343955834,5.4763457985782225,-1.4614754546223887,5.500204502825143,sa3016260
Luis Serna,NYY,A+,21,78,10.153846153846153,3.576923076923077,2.83870968,0.8076923076923077,0.27160494,0.09567901,0.17592593,0.20689655,1.1666666666666667,0.27179487,0.64133017,4.038461538461538,3.7580680798261596,0.2803934586353787,4.7345252584188415,sa3016528
Ryan Costeiu,LAA,AA,25,70.2,10.31603922085157,3.438679740283857,3,1.400943597893423,0.2539185,0.0846395,0.169279,0.26666667,1.4575473796264906,0.33678756,0.61310782,6.367925444970105,4.784169736830293,1.5837557081398117,4.701403643691972,sa3017260
Kevin Abel,CIN,AA,27,82.1,9.29149854970452,5.90283437275346,1.57407407,1.2024292240794086,0.21963824,0.13953488,0.08010336,0.27217125,1.7368422125591456,0.33766234,0.65868263,6.121457868040625,5.467940975810045,0.6535168922305798,5.734565873529917,sa3017879
Chandler Champlain,WSN,AAA,26,82.1,5.574899129822712,1.7489879622973215,3.1875,0.9838057287922433,0.15692308,0.04923077,0.10769231,0.23127036,1.0566802272212983,0.25101215,0.66753927,3.935222915168973,4.3698571927495635,-0.4346342775805905,4.929961967644264,sa3018138
Trenton Denholm,CLE,AAA,26,77,9.116883116883116,2.688311688311688,3.39130435,1.2857142857142858,0.23493976,0.06927711,0.16566265,0.25412541,1.2987012987012987,0.30841121,0.70640177,4.441558441558442,4.4928394218543914,-0.05128098029594952,4.489279408849679,sa3018139
Yunior Marte,SFG,"A+,AA",22,79.2,9.376570234938137,3.389121771664387,2.76666667,1.016736531499316,0.24198251,0.08746356,0.15451895,0.24679487,1.3430964058077384,0.30909091,0.68134172,4.405858303163702,4.1807542050595945,0.22510409810410792,4.388729137862656,sa3018367
Jose Chirinos,NYM,"A,A+",21,76.2,10.095651504141665,3.286956303674031,3.07142857,1.0565216690380814,0.26299694,0.08562691,0.17737003,0.23890785,1.278260784762123,0.30808081,0.72210066,3.6391301933533913,4.2521324058524055,-0.6130022124990142,4.545559969053891,sa3018859
Emmanuel Reyes,KCR,A+,22,78.2,7.550848434040708,3.6610174225651915,2.0625,1.3728815334619469,0.19701493,0.09552239,0.10149254,0.25752508,1.3855933995125205,0.29411765,0.77962578,3.889831011475516,5.640269194194512,-1.7504381827189959,5.169616721846969,sa3019071
