Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shane Baz","BAL",4,4,6,4.18993,12,12,0,0,,65,277,60,33,30,8,24,,3,61,8.4269,3.26263,2.58286,1.04777,0.219898,0.0851376,0.13476067781448364,0.240298,1.28744,0.289131,0.694923,,,3.96679,0.979566,0.763176,186.92999267578125,,,,,,,267.6,4.116923076923078,262,4.030769230769231,,,,,,,,,,,,,,,,,,,"Shane Baz","22264",669358
"Jack Flaherty","DET",4,4,5,4.20264,11,11,0,0,,58,249,52,29,27,7,24,,4,66,10.205,3.64116,2.80269,1.14705,0.264906,0.0945184,0.1703873574733734,0.235443,1.3029,0.301816,0.707297,,,3.88299,0.979476,0.777243,209,,,,,,,255.90000000000003,4.412068965517242,247,4.258620689655173,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Payton Tolle","BOS",3,2,5,4.02396,10,10,0,0,,50,212,47,24,23,7,15,,2,53,9.47248,2.68876,3.52299,1.17955,0.25063,0.0711413,0.1794886663556099,0.240076,1.22545,0.297272,0.709683,,,3.7162,0.969272,0.866989,673,,,,,,,216.7,4.334,214,4.28,,,,,,,,,,,,,,,,,,,"Payton Tolle","35466",801139
"Foster Griffin","WSN",3,4,5,4.40166,11,11,0,0,,62,264,62,33,31,9,17,,3,62,8.88596,2.41935,3.67288,1.34241,0.233438,0.0635573,0.1698809489607811,0.253179,1.25749,0.303233,0.692198,,,4.03704,0.964768,0.625358,999,,,,,,,250.89999999999998,4.046774193548386,257,4.145161290322581,,,,,,,,,,,,,,,,,,,"Foster Griffin","16432",656492
"Cade Cavalli","WSN",3,3,5,4.07801,11,11,0,0,,54,228,49,26,24,5,19,,6,52,8.69294,3.13022,2.7771,0.884108,0.227691,0.081989,0.1457025110721588,0.243828,1.27066,0.303086,0.686722,,,3.81609,0.929778,0.822977,305.2200012207031,,,,,,,239.70000000000002,4.438888888888889,234,4.333333333333333,,,,,,,,,,,,,,,,,,,"Cade Cavalli","27473",676917
"Sean Burke","CHW",3,4,6,4.33519,12,12,0,0,,67,289,63,35,32,10,27,,3,68,9.14023,3.56342,2.56502,1.28349,0.236175,0.0920755,0.14409977197647095,0.241477,1.32649,0.292329,0.712541,,,4.26153,0.918982,0.746642,748.5599975585938,,,,,,,254.99999999999994,3.8059701492537306,251,3.746268656716418,,,,,,,,,,,,,,,,,,,"Sean Burke","29878",680732
"Griffin Jax","TBR",3,3,5,3.78697,10,10,0,0,,39,161,34,18,16,5,12,,1,47,10.8783,2.7606,3.94057,1.07713,0.290956,0.0738362,0.21712027490139008,0.227172,1.17538,0.300144,0.71244,,,3.22923,0.914307,0.688537,149.2100067138672,,,,,,,193.70000000000002,4.966666666666667,185,4.743589743589744,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Will Warren","NYY",4,4,5,4.44005,15,12,0,0,,65,278,62,35,32,9,23,,2,64,8.89544,3.15772,2.81704,1.19503,0.23154,0.0821926,0.1493474617600441,0.243561,1.29632,0.294379,0.684495,,,4.00936,0.912509,0.569462,285.04998779296875,,,,,,,262.1,4.032307692307692,261,4.015384615384615,,,,,,,,,,,,,,,,,,,"Will Warren","30182",701542
"Kyle Harrison","MIL",3,2,5,3.98104,11,11,0,0,,51,214,44,25,23,7,17,,3,58,10.1961,3.0541,3.33851,1.21405,0.270895,0.0811424,0.18975220620632172,0.228832,1.20554,0.290488,0.712843,,,3.7774,0.911414,0.712254,446.55999755859375,,,,,,,232.90000000000006,4.566666666666668,220,4.313725490196078,,,,,,,,,,,,,,,,,,,"Kyle Harrison","27758",690986
"Mitch Keller","PIT",4,5,6,4.24268,13,13,0,0,,69,295,70,35,32,9,22,,4,58,7.6121,2.8624,2.65934,1.13238,0.196662,0.0739513,0.12271040678024292,0.259003,1.33287,0.301706,0.709306,,,4.19085,0.907134,0.936431,518.6300048828125,,,,,,,255.90000000000003,3.7086956521739136,266,3.8550724637681157,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
