Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Abel Lorenzo,LAD,CPX,20,167,0.041916167,0.269461077,0.155555555,0.303225806,0.347305389,0.464516129,0.811821518,0.161290323,7.744650256781032,0.401869158,-0.6518565948936157,26.523077890821636,-2.010578184775176,0.368300938677645,96.69006514262821,sa3021831
Kelvin Alcantara,SEA,CPX,20,203,0.147783251,0.162561576,0.909090909,0.285714285,0.399014778,0.458333333,0.857348111,0.172619048,2.15870220875,0.315384615,0.01218870427692309,38.4084574567633,3.723833604391131,0.39965804192820203,115.38925602367156,sa3021837
Franklin Arias,BOS,AA,20,313,0.108626198,0.140575079,0.772727272,0.319702602,0.405750798,0.587360594,0.993111392,0.267657992,4.008538216462482,0.323809523,-0.9498444963246584,65.57917220855563,23.333867117412975,0.42295369467177946,153.18394555505213,sa3021845
Brian Sanchez,PIT,A+,21,286,0.104895104,0.255244755,0.410958904,0.255060728,0.343859649,0.449392712,0.793252361,0.194331984,6.71573900645119,0.321428571,-2.0735050020739436,42.889676633861576,1.7262370023994775,0.35449114870606807,99.19758286764177,sa3021860
Eduardo Tait,MIN,A+,19,345,0.075362318,0.249275362,0.302325581,0.220064724,0.286956521,0.42394822,0.710904741,0.203883496,2.601261900000697,0.248826291,-1.1690531894564629,37.85316723129756,-12.907499347710537,0.31638822019964025,76.18097708328784,sa3022162
Alfredo Alcantara,CIN,A+,20,330,0.118181818,0.233333333,0.506493506,0.223404255,0.326219512,0.390070921,0.716290433,0.166666666,3.9379072293553463,0.261538461,-1.5921168439090252,40.862209414022516,-7.691471661550449,0.33234519148018304,83.14077348806644,sa3022184
Jose Gonzalez,LAD,CPX,21,162,0.197530864,0.302469135,0.653061224,0.224,0.395061728,0.432,0.827061728,0.208,6.890662973677294,0.328767123,-1.0164992685604375,29.462266398860088,1.7829114033709712,0.3920844848509188,110.19229834954348,sa3022196
Jose Castro,NYY,CPX,20,147,0.197278911,0.244897959,0.805555555,0.296296296,0.476190476,0.527777777,1.003968253,0.231481481,8.411325850285134,0.378787878,0.14124951139092445,36.96319212584344,13.156556418226637,0.4775692074477267,150.60145415496558,sa3022235
Dariel Ramon,TOR,A,20,266,0.112781954,0.157894736,0.714285714,0.239819004,0.36121673,0.357466063,0.718682793,0.117647059,7.363145545836858,0.28,2.224705524276942,37.48960041245204,0.426310323083218,0.34944422895671756,101.32443898477668,sa3022236
Yassel Soler,ARI,A+,20,313,0.057507987,0.230031948,0.25,0.236933797,0.293929712,0.362369337,0.656299049,0.12543554,2.0582022030852687,0.287081339,-0.7786376527510583,29.860690557259044,-11.889067120057621,0.29720312433365065,71.61969503997578,sa3022281
Moises Valdez,SDP,CPX,20,155,0.083870967,0.187096774,0.448275862,0.288888888,0.361842105,0.429629629,0.791471734,0.140740741,8.331005060236148,0.352380952,0.7992403123644181,24.672800227974665,-1.81053325536369,0.3686709592216893,94.43822379456606,sa3022282
Alexey Lumpuy,CHC,A,22,309,0.129449838,0.294498381,0.439560439,0.246153846,0.362459546,0.346153846,0.708613392,0.1,5.543376818801551,0.353658536,3.0133803244680166,42.08866215791281,-0.32611133609240106,0.34889959285945954,103.37174767877879,sa3022296
Alirio Ferrebus,PHI,A,20,288,0.052083333,0.131944444,0.394736842,0.321705426,0.375,0.515503875,0.890503875,0.193798449,3.9357023944387004,0.339534883,-0.09472281020134687,53.76155325816164,13.632878274183362,0.4045582012169891,131.04884456483595,sa3022306
Cristian Perez,DET,CPX,19,172,0.145348837,0.273255813,0.531914893,0.26056338,0.376470588,0.612676056,0.989146644,0.352112676,7.219783476094218,0.297619047,0.37982568610459566,36.648138743416084,8.79275546647669,0.43534352989757763,134.25352405774635,sa3022320
Carlos Gutierrez,SFG,A+,21,308,0.142857142,0.201298701,0.709677419,0.260536398,0.37012987,0.436781609,0.806911479,0.176245211,7.559389094753728,0.308900523,2.679211024194956,47.63769870633492,6.554870065397116,0.36718627113800545,119.11738356127334,sa3022336
Aldo Gaxiola,TOR,A,20,247,0.048582995,0.295546558,0.164383561,0.228070175,0.287449392,0.403508771,0.690958163,0.175438596,4.298555731461602,0.294520547,-0.1887032361701131,28.46703466309296,-5.948877562749519,0.31848843570662894,82.86848944206191,sa3022373
Enyervert Perez,ARI,A,20,283,0.113074204,0.275618374,0.41025641,0.241525423,0.34767025,0.423728813,0.771399063,0.18220339,1.9356839760228104,0.311258278,-0.8117807162925601,41.98026349110584,-2.0537975235464137,0.3512627488823347,96.59332399060212,sa3022379
Lisbel Diaz,SFG,"A,A+,CPX",20,292,0.051369863,0.164383561,0.3125,0.265682656,0.305841924,0.509225092,0.815067016,0.243542436,6.186823019555264,0.263157894,-0.11997827782761306,41.64479754328978,1.5870502239490711,0.35081555576160034,105.32841440418326,sa3022399
Caleb Bartolero,LAA,"A+,AA",26,275,0.083636363,0.2,0.418181818,0.263157894,0.328467153,0.421052631,0.749519784,0.157894737,3.9499559025,0.310160427,-0.446425995323807,36.28681164929015,-0.6301919524993211,0.33629558469257215,103.02870028411616,sa3022423
Dakota Harris,STL,AA,24,305,0.127868852,0.193442622,0.661016949,0.254826254,0.355263157,0.393822393,0.74908555,0.138996139,7.303296824069064,0.297435897,2.016330925747752,42.63972305446912,-0.5104358425731563,0.3451146114813654,96.52866842920288,sa3022431
Brock Rodden,SEA,AAA,26,322,0.102484472,0.236024844,0.434210526,0.259786476,0.339563862,0.462633451,0.802197313,0.202846975,4.606918573439592,0.30964467,-0.24871770571917295,45.48404586002084,-1.5839049549415403,0.35587329303735515,100.33000308991369,sa3022432
Zach Levenson,STL,AA,24,239,0.142259414,0.242677824,0.586206896,0.195,0.322175732,0.325,0.647175732,0.13,2.2835377542301467,0.240875912,-1.06727537792176,25.670094769020988,-8.142652694562962,0.30787201581140944,73.61034466175566,sa3022435
Hunter Fitz-Gerald,SEA,AA,25,365,0.06849315,0.298630136,0.229357798,0.270516717,0.331506849,0.541033434,0.872540283,0.270516717,5.896356192591902,0.334975369,-0.2114044837653637,60.68983210399088,9.051117358350124,0.37554585280483715,129.64472462266895,sa3022482
Charlie Pagliarini,SEA,AA,25,368,0.163043478,0.29347826,0.555555555,0.266666666,0.39673913,0.493333333,0.890072463,0.226666667,5.333438172346799,0.355932203,-2.1833690917119384,68.73329016733041,16.670147629259727,0.3991146571934223,144.14847980064053,sa3022487
Drew Compton,ATL,AA,25,227,0.079295154,0.193832599,0.409090909,0.196078431,0.26431718,0.294117647,0.558434827,0.098039216,4.147689203124456,0.226415094,-0.9247014448046684,16.02445844502349,-14.732251935292288,0.2572171680202568,52.15545154585666,sa3022495
Brock Wilken,MIL,AAA,24,330,0.169696969,0.29090909,0.583333333,0.17293233,0.318181818,0.330827067,0.649008885,0.157894737,5.8099550022091595,0.22754491,0.5650990409776568,33.60572947151743,-11.470447052644863,0.30484227646480905,77.49198244669545,sa3022499
Sabin Ceballos,SFG,AA,23,316,0.129746835,0.189873417,0.683333333,0.221804511,0.341772151,0.413533834,0.755305985,0.191729323,4.008585236428497,0.237113402,-0.4226031117141247,43.77596738730091,1.125755218607366,0.33990491685413177,104.04673878917525,sa3022500
Joe Vetrano,LAD,AA,24,252,0.107142857,0.317460317,0.3375,0.190045248,0.28,0.30316742,0.58316742,0.113122172,5.242179779440417,0.270072992,-1.457396738231182,19.5716120894728,-16.080322474640816,0.2736815977096558,57.529445224327716,sa3022501
Raudi Rodriguez,LAA,AA,22,353,0.155807365,0.209631728,0.743243243,0.284246575,0.401709401,0.462328767,0.864038168,0.178082192,6.72972530733253,0.342995169,-0.4109470099210739,64.40877776089656,16.580060737762324,0.389693671975817,137.2324538919745,sa3022506
Isaiah Drake,ATL,A+,20,313,0.095846645,0.255591054,0.375,0.264285714,0.341853035,0.442857142,0.784710177,0.178571428,5.622121146362033,0.329787234,-0.4685958521440625,46.475326202810216,1.4258275851611342,0.35280355154134974,110.85434216881482,sa3022507
